"Appeal Code","Appeal Type","Program Code","Drop Date","Fiscal Year","Start Date","Stop Date","Number Selected","Appeal Name","Appeal Cost"
"AW93"," "," "," "," "," "," "," ","Reunion Weekend contributon"," "
"AW98"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"ML43"," "," "," "," "," "," "," ","Class of 1943 Reunion"," "
"ML48"," "," "," "," "," "," "," ","Class of 1948 Reunion"," "
"ML53"," "," "," "," "," "," "," ","Class of 1953 Reunion"," "
"ML58"," "," "," "," "," "," "," ","Class of 1958 Reunion"," "
"ML63"," "," "," "," "," "," "," ","Class of 1963 Reunion"," "
"ML68"," "," "," "," "," "," "," ","Class of 1968 Reunion"," "
"ML73"," "," "," "," "," "," "," ","Class of 1973 Reunion"," "
"ML78"," "," "," "," "," "," "," ","Class of 1978 Reunion"," "
"ML83"," "," "," "," "," "," "," ","Class of 1983 Reunion"," "
"ML88"," "," "," "," "," "," "," ","Class of 1988 Reunion"," "
"ML93"," "," "," "," "," "," "," ","Class of 1993 Reunion"," "
"ML98"," "," "," "," "," "," "," ","Class of 1998 Reunion"," "
"MLP4"," "," "," "," "," "," "," ","Parents of current seniors"," "
"PHX5"," "," "," "," "," "," "," ","Non-donors Group 5"," "
"PHX6"," "," "," "," "," "," "," ","Non-donors Group 6"," "
"MLBS"," "," "," "," "," "," "," ","Business Annual Report"," "
"PHS1"," "," "," "," "," "," "," ","Second Chance Lybunts"," "
"PHS2"," "," "," "," "," "," "," ","Second Chance Sybunts"," "
"PHS3"," "," "," "," "," "," "," ","Second Chance Sybunts - MGL"," "
"ML5PC"," "," "," "," "," "," "," ","Lybunt with Class Giving"," "
"PHS4"," "," "," "," "," "," "," ","Second Change Lybunts - Class"," "
"PHTA"," "," "," "," "," "," "," ","BSC Roadshow Tour Attendees"," "
"PHGC"," "," "," "," "," "," "," ","Glee Club Phonathon"," "
"PHSY"," "," "," "," "," "," "," ","SYBUNTS"," "
"MLES"," "," "," "," "," "," "," ","Environmental Sciences"," "
"MUPIG"," "," "," "," "," "," "," ","Red Change Scholarship"," "
"MLKSP"," "," "," "," "," "," "," ","Karne Schillnig Prize-solicit"," "
"CA06"," "," "," "," "," "," "," ","2006 Class Agent Mailing"," "
"MLLG"," "," "," "," "," "," "," ","LGBT 1809"," "
"MLBB"," "," "," "," "," "," "," ","Bo Schembechler (Bo Boys)"," "
"MLPL"," "," "," "," "," "," "," ","Pre-Law Mailing"," "
"MLMB"," "," "," "," "," "," "," ","Marching Band - Solicitation"," "
"ML4PC"," "," "," "," "," "," "," ","4th General Lybunt Class Schol"," "
"MLRW"," "," "," "," "," "," "," ","Red & White Solitication"," "
"PH3P"," "," "," "," "," "," "," ","Parents Spring Phonathon Fresh"," "
"AW10"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"PF2D"," "," "," "," "," "," "," ","Parents Fund Second Ask"," "
"PHRF"," "," "," "," "," "," "," ","Parents F. Spring Refusal Don."," "
"PHSF"," "," "," "," "," "," "," ","Annual F. Spring Refusal Don."," "
"PHP9"," "," "," "," "," "," "," ","Parents Fund Second Ask"," "
"PHRD"," "," "," "," "," "," "," ","Alumni Research Curr Donors"," "
"PHS5"," "," "," "," "," "," "," ","Alumni Research Sybunts"," "
"PHLO"," "," "," "," "," "," "," ","Alumni Research Long Lapsed"," "
"PHFU"," "," "," "," "," "," "," ","Alumni Research Future Donors"," "
"PHP8"," "," "," "," "," "," "," ","Parents Research"," "
"PHP7"," "," "," "," "," "," "," ","Friends Research"," "
"ASCBR"," "," "," "," "," "," "," ","Armstrong Student Ctr Sep 2010"," "
"MLWA"," "," "," "," "," "," "," ","Women's Center - Anniversary"," "
"PCAS"," "," "," "," "," "," "," ","College of Arts and Science"," "
"PHA2"," "," "," "," "," "," "," ","AF Second Ask Pool 2"," "
"MLSC"," "," "," "," "," "," "," ","Scripps mailing"," "
"MLCE"," "," "," "," "," "," "," ","Christmas Eve Mailing"," "
"MLAS"," "," "," "," "," "," "," ","Armstrong Student Center"," "
"PH1L"," "," "," "," "," "," "," ","	Annual Fund 1st Time Lybunts"," "
"PHDD"," "," "," "," "," "," "," ","Annual Fund Double Donors"," "
"PHAL"," "," "," "," "," "," "," ","Annual Fund Lybunts"," "
"PHSB"," "," "," "," "," "," "," ","Annual Fund Sybunts"," "
"MLMO"," "," "," "," "," "," "," ","MU Opera/Grand Night Mailing"," "
"MB"," "," "," "," "," "," "," ","AA - membership Dues"," "
"PH05"," "," "," "," "," "," "," ","Class of 2005 Reunion"," "
"PH04"," "," "," "," "," "," "," ","Class of 2004 Reunion"," "
"PHL1"," "," "," "," "," "," "," ","LYBUNTS"," "
"PHB1"," "," "," "," "," "," "," ","BSC Donors Lybunts"," "
"PHSL"," "," "," "," "," "," "," ","Senior Legacy Students"," "
"PHLP"," "," "," "," "," "," "," ","Senior Legacy Senor Parents"," "
"PHRW"," "," "," "," "," "," "," ","Red & White Renewals or Aquire"," "
"MLASG1"," "," "," "," "," "," "," ","ASG ASC Suite Letter"," "
"MLMUSF"," "," "," "," "," "," "," ","MUSF Soliictation"," "
"MLPA"," "," "," "," "," "," "," ","Parents of Senior MUAA Gift"," "
"PH36"," "," "," "," "," "," "," ","Class of 1936 Reunion"," "
"MLDAR"," "," "," "," "," "," "," ","Regional Campus Deans Annual R"," "
"MLARSN"," "," "," "," "," "," "," ","Regional Annual Giving"," "
"HR09"," "," "," "," "," "," "," ","2009 Honor Roll mailing"," "
"MLM1"," "," "," "," "," "," "," ","Managed Prospects AF"," "
"MLXE"," "," "," "," "," "," "," ","Christmas Eve"," "
"ML2PP"," "," "," "," "," "," "," ","2nd General Prev Donor Prepay"," "
"ML2SP"," "," "," "," "," "," "," ","2nd General Lapse Donor Prepay"," "
"ML08"," "," "," "," "," "," "," ","Class of 2008 Reunion"," "
"ML09"," "," "," "," "," "," "," ","Class of 2009 Reunion"," "
"ML10"," "," "," "," "," "," "," ","Class of 2010 Reunion"," "
"ML11"," "," "," "," "," "," "," ","Class of 2011 Reunion"," "
"MLCB"," "," "," "," "," "," "," ","L. Conaway & M. Bennison Fund"," "
"BSCBR"," "," "," "," "," "," "," ","Bicentennial Brochure"," "
"PHPL"," "," "," "," "," "," "," ","Parents Lybunts"," "
"PHPY"," "," "," "," "," "," "," ","Parents Sybunts"," "
"PHR2"," "," "," "," "," "," "," ","Class Reunion Non Donors"," "
"PHF2"," "," "," "," "," "," "," ","Annual Fund Future Donors"," "
"PHMB"," "," "," "," "," "," "," ","Marching Band"," "
"MLASC1"," "," "," "," "," "," "," ","MUSF  Alumni Henke mailing"," "
"MLASC2"," "," "," "," "," "," "," ","MUSF YA"," "
"MLASC3"," "," "," "," "," "," "," ","ASC TBD"," "
"PH06"," "," "," "," "," "," "," ","Phone Class Scholarship 2006"," "
"MLASC4"," "," "," "," "," "," "," ","ASC TBD"," "
"PH46"," "," "," "," "," "," "," ","Phone Class Scholarship 1946"," "
"AW11"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"MLHR"," "," "," "," "," "," "," ","Honor Roll of Donors"," "
"MLRB"," "," "," "," "," "," "," ","Rinella - Brochure"," "
"MMWR"," "," "," "," "," "," "," ","Merger Moment World Record"," "
"MLMUMB"," "," "," "," "," "," "," ","Marching Band Mailing"," "
"PH41"," "," "," "," "," "," "," ","Class of 41 Reunion"," "
"MLRCD"," "," "," "," "," "," "," ","Regional Campus AR and Donor M"," "
"MLCC"," "," "," "," "," "," "," ","Collegiate Chorale"," "
"AWGC"," "," "," "," "," "," "," ","Alumni Weekend Glee Club"," "
"MLCT"," "," "," "," "," "," "," ","Teammates of Treadwell Fund"," "
"PCEHS"," "," "," "," "," "," "," ","Education, Health & Society"," "
"ML5P11BS"," "," "," "," "," "," "," ","Fifth General 2011 Bishop"," "
"ML5P1118"," "," "," "," "," "," "," ","Fifth General 2011 1809"," "
"ML5P11BC"," "," "," "," "," "," "," ","Fifth General 2011 Bic"," "
"ML5P11PT"," "," "," "," "," "," "," ","Fifth General 2011 Parti"," "
"ML5P11SY"," "," "," "," "," "," "," ","Fifth General 2011 Sybunts"," "
"MLPBD11SIG"," "," "," "," "," "," "," ","Prodesse December 2011 sig"," "
"MLPBD11PS"," "," "," "," "," "," "," ","Prodesse December 2011 sig&PS"," "
"MLPBD11"," "," "," "," "," "," "," ","Prodesse December 2011 comp si"," "
"MLPCD11SIG"," "," "," "," "," "," "," ","President’s Club Dec 2011 sig"," "
"MLPCD11PS"," "," "," "," "," "," "," ","President's Club Dec 2011 si&P"," "
"MLPCD11"," "," "," "," "," "," "," ","President's Club Dec 2011 coms"," "
"ELNE"," "," "," "," "," "," "," ","Paciolan/NeuLion Online Gifts"," "
"PG57"," "," "," "," "," "," "," ","Planned Giving Ten Year Donors"," "
"ELRN"," "," "," "," "," "," "," ","Red and White Newsletter"," "
"ELAE"," "," "," "," "," "," "," ","Athletics E-mail"," "
"PDKG"," "," "," "," "," "," "," ","Project Dragonfly Kiosk Gifts"," "
"ELDD"," "," "," "," "," "," "," ","Donor Drive Online Gifts"," "
"AKPS"," "," "," "," "," "," "," ","Alpha Kappa Psi Storefront"," "
"MLRNL"," "," "," "," "," "," "," ","Regional Camp Newsletter Ask"," "
"EL2P"," "," "," "," "," "," "," ","Second Email-Moment for Miami"," "
"MLCARN"," "," "," "," "," "," "," ","Carnegie Hall Solc Mailing"," "
"ML5PAD12"," "," "," "," "," "," "," ","Fifth General Donor"," "
"ML5PND12"," "," "," "," "," "," "," ","Fifth General NonDonor"," "
"MLGC13"," "," "," "," "," "," "," ","Glee Club - 2013"," "
"MLRGFN13"," "," "," "," "," "," "," ","Regional fall newsletter 2013"," "
"MLPFFA13"," "," "," "," "," "," "," ","Parents Fund Fall 2013"," "
"MLDREH13"," "," "," "," "," "," "," ","Mailing - EHS Deans Fund"," "
"ELREG"," "," "," "," "," "," "," ","Regionals E-mail Online Gifts"," "
"MLCP13"," "," "," "," "," "," "," ","Presidents Club Dec 2013"," "
"MLPB13"," "," "," "," "," "," "," ","Prodesse Society Dec 2013"," "
"MLEQ14"," "," "," "," "," "," "," ","Equestrian Program Pledge Card"," "
"ELR1"," "," "," "," "," "," "," ","Red & White Email Solicitation"," "
"PHRG14"," "," "," "," "," "," "," ","Phonathon Recurring Gifts 14"," "
"PHIG14"," "," "," "," "," "," "," ","Phonathon Installments 14"," "
"PHLN14"," "," "," "," "," "," "," ","Phonathon Lux Futures 14"," "
"PHUL14"," "," "," "," "," "," "," ","Phonathon Library Futures 14"," "
"PHRND14"," "," "," "," "," "," "," ","Phonathon Regionals Futures 14"," "
"PH1L14"," "," "," "," "," "," "," ","Phone AF 1st time lybunts 14"," "
"PHAL14"," "," "," "," "," "," "," ","Phonathon AF Lybunts 14"," "
"PHSB14"," "," "," "," "," "," "," ","Phonathon AF Sybunts 14"," "
"PHTL14"," "," "," "," "," "," "," ","Phonathon AF Long Lapsed 14"," "
"PHFU14"," "," "," "," "," "," "," ","Phone Fall Miami Writeoffs 14"," "
"PHMP14"," "," "," "," "," "," "," ","Phonathon Major Prospects 14"," "
"PHLX14"," "," "," "," "," "," "," ","Phonathon Luxembourg Donors 14"," "
"PHLB14"," "," "," "," "," "," "," ","Phonathon Library Donors 14"," "
"PHAR14"," "," "," "," "," "," "," ","Phonathon Regional Donors 14"," "
"PHPP15"," "," "," "," "," "," "," ","Phone Past Parent Donors 14"," "
"PHPC14"," "," "," "," "," "," "," ","Phonathon Presidents Club 14"," "
"PHMP214"," "," "," "," "," "," "," ","Phone Mjr Prospects 2nd Ask 14"," "
"PHMP2C14"," "," "," "," "," "," "," ","Phone Mjr Prspcts 2nd Chnce 14"," "
"PHLX214"," "," "," "," "," "," "," ","Phonathon Lux 2nd Ask 14"," "
"PH214"," "," "," "," "," "," "," ","Phonathon AF 2nd Ask 14"," "
"PHLX2C14"," "," "," "," "," "," "," ","Phonathon Lux 2nd Chance 14"," "
"PH2C14"," "," "," "," "," "," "," ","Phonathon AF 2nd Chance 14"," "
"MLDFAS14"," "," "," "," "," "," "," ","CAS Dean's Fund 2014"," "
"MLDFCA14"," "," "," "," "," "," "," ","CCA Dean's Fund 2014"," "
"MLDFFB14"," "," "," "," "," "," "," ","FSB Dean's Fund 2014"," "
"MLDFEC14"," "," "," "," "," "," "," ","CEC Dean's Fund 2014"," "
"MLDFEH14"," "," "," "," "," "," "," ","EHS Dean's Fund 2014"," "
"MLLIB14"," "," "," "," "," "," "," ","Univ. Libraries Dean's Fund 14"," "
"MLDREH14"," "," "," "," "," "," "," ","EHS Dean's Fund 2014"," "
"ML3PML14"," "," "," "," "," "," "," ","3rd Gen Millenials Lybunts 14"," "
"ML3PMS14"," "," "," "," "," "," "," ","3rd Gen Millenial 3-yr Sybs 14"," "
"ML3PMP14"," "," "," "," "," "," "," ","3rd Gen Millenial Lng-Lapsd 14"," "
"ML3PMN14"," "," "," "," "," "," "," ","3rd Gen Millenial Nondonors 14"," "
"ML3PGT14"," "," "," "," "," "," "," ","3rd Gen Green Test One 14"," "
"ML3PGT24"," "," "," "," "," "," "," ","3rd Gen Green Test Two 14"," "
"PHMIM14"," "," "," "," "," "," "," ","Phone MoveInMiami donors 2014"," "
"MLRWM214"," "," "," "," "," "," "," ","RWC Current Members Q2 2014"," "
"PHPDF14"," "," "," "," "," "," "," ","Phonathon Project Dragonfly 14"," "
"PHAN15"," "," "," "," "," "," "," ","Phone AN segment 2015"," "
"MLSP15"," "," "," "," "," "," "," ","Spring Stmnt mailing, sybunts"," "
"MLSS15"," "," "," "," "," "," "," ","Spring Stmnt mailing, lybunts"," "
"MLMUAA115"," "," "," "," "," "," "," ","MUAA 2015"," "
"ML4915"," "," "," "," "," "," "," ","Class Agent 1949 Mlg 2015"," "
"ML5015"," "," "," "," "," "," "," ","Class Agent 1950 Mlg 2015"," "
"ML5115"," "," "," "," "," "," "," ","Class Agent 1951 Mlg 2015"," "
"ML5215"," "," "," "," "," "," "," ","Class Agent 1952 Mlg 2015"," "
"ML5315"," "," "," "," "," "," "," ","Class Agent 1953 Mlg 2015"," "
"ML5415"," "," "," "," "," "," "," ","Class Agent 1954 Mlg 2015"," "
"ML5615"," "," "," "," "," "," "," ","Class Agent 1956 Mlg 2015"," "
"ML5715"," "," "," "," "," "," "," ","Class Agent 1957 Mlg 2015"," "
"ML5815"," "," "," "," "," "," "," ","Class Agent 1958 Mlg 2015"," "
"ML5915"," "," "," "," "," "," "," ","Class Agent 1959 Mlg 2015"," "
"ML6015"," "," "," "," "," "," "," ","Class Agent 1960 Mlg 2015"," "
"ML6115"," "," "," "," "," "," "," ","Class Agent 1961 Mlg 2015"," "
"ML6215"," "," "," "," "," "," "," ","Class Agent 1962 Mlg 2015"," "
"ML6415"," "," "," "," "," "," "," ","Class Agent 1964 Mlg 2015"," "
"ML6615"," "," "," "," "," "," "," ","Class Agent 1966 Mlg 2015"," "
"ML6715"," "," "," "," "," "," "," ","Class Agent 1967 Mlg 2015"," "
"ML6815"," "," "," "," "," "," "," ","Class Agent 1968 Mlg 2015"," "
"ML6915"," "," "," "," "," "," "," ","Class Agent 1969 Mlg 2015"," "
"ML7015"," "," "," "," "," "," "," ","Class Agent 1970 Mlg 2015"," "
"ML7115"," "," "," "," "," "," "," ","Class Agent 1971 Mlg 2015"," "
"ML7215"," "," "," "," "," "," "," ","Class Agent 1972 Mlg 2015"," "
"ML7315"," "," "," "," "," "," "," ","Class Agent 1973 Mlg 2015"," "
"ML7415"," "," "," "," "," "," "," ","Class Agent 1974 Mlg 2015"," "
"ML7515"," "," "," "," "," "," "," ","Class Agent 1975 Mlg 2015"," "
"ML7615"," "," "," "," "," "," "," ","Class Agent 1976 Mlg 2015"," "
"ML7715"," "," "," "," "," "," "," ","Class Agent 1977 Mlg 2015"," "
"ML7815"," "," "," "," "," "," "," ","Class Agent 1978 Mlg 2015"," "
"ML7915"," "," "," "," "," "," "," ","Class Agent 1979 Mlg 2015"," "
"ML8015"," "," "," "," "," "," "," ","Class Agent 1980 Mlg 2015"," "
"ML8115"," "," "," "," "," "," "," ","Class Agent 1981 Mlg 2015"," "
"ML8215"," "," "," "," "," "," "," ","Class Agent 1982 Mlg 2015"," "
"ML8315"," "," "," "," "," "," "," ","Class Agent 1983 Mlg 2015"," "
"ML8415"," "," "," "," "," "," "," ","Class Agent 1984 Mlg 2015"," "
"ML8515"," "," "," "," "," "," "," ","Class Agent 1985 Mlg 2015"," "
"ML8615"," "," "," "," "," "," "," ","Class Agent 1986 Mlg 2015"," "
"ML8715"," "," "," "," "," "," "," ","Class Agent 1987 Mlg 2015"," "
"ML8815"," "," "," "," "," "," "," ","Class Agent 1988 Mlg 2015"," "
"ML8915"," "," "," "," "," "," "," ","Class Agent 1989 Mlg 2015"," "
"ML9015"," "," "," "," "," "," "," ","Class Agent 1990 Mlg 2015"," "
"ML9115"," "," "," "," "," "," "," ","Class Agent 1991 Mlg 2015"," "
"ML9225"," "," "," "," "," "," "," ","Class Agent 1992 Mlg 2015"," "
"ML9315"," "," "," "," "," "," "," ","Class Agent 1993 Mlg 2015"," "
"ML9415"," "," "," "," "," "," "," ","Class Agent 1994 Mlg 2015"," "
"ML9515"," "," "," "," "," "," "," ","Class Agent 1995 Mlg 2015"," "
"ML9615"," "," "," "," "," "," "," ","Class Agent 1996 Mlg 2015"," "
"ML9715"," "," "," "," "," "," "," ","Class Agent 1997 Mlg 2015"," "
"ML9815"," "," "," "," "," "," "," ","Class Agent 1998 Mlg 2015"," "
"ML9915"," "," "," "," "," "," "," ","Class Agent 1999 Mlg 2015"," "
"ML0015"," "," "," "," "," "," "," ","Class Agent 2000 Mlg 2015"," "
"ML0115"," "," "," "," "," "," "," ","Class Agent 2001 Mlg 2015"," "
"ML0215"," "," "," "," "," "," "," ","Class Agent 2002 Mlg 2015"," "
"ML0315"," "," "," "," "," "," "," ","Class Agent 2003 Mlg 2015"," "
"ML0415"," "," "," "," "," "," "," ","Class Agent 2004 Mlg 2015"," "
"ML0515"," "," "," "," "," "," "," ","Class Agent 2005 Mlg 2015"," "
"ML0615"," "," "," "," "," "," "," ","Class Agent 2006 Mlg 2015"," "
"ML0715"," "," "," "," "," "," "," ","Class Agent 2007 Mlg 2015"," "
"ML0815"," "," "," "," "," "," "," ","Class Agent 2008 Mlg 2015"," "
"ML0915"," "," "," "," "," "," "," ","Class Agent 2009 Mlg 2015"," "
"ML1015"," "," "," "," "," "," "," ","Class Agent 2010 Mlg 2015"," "
"ML1115"," "," "," "," "," "," "," ","Class Agent 2011 Mlg 2015"," "
"ML1215"," "," "," "," "," "," "," ","Class Agent 2012 Mlg 2015"," "
"ML1315"," "," "," "," "," "," "," ","Class Agent 2013 Mlg 2015"," "
"ML1415"," "," "," "," "," "," "," ","Class Agent 2014 Mlg 2015"," "
"MLPFS15"," "," "," "," "," "," "," ","Parent Fund Spring 2015"," "
"MLDFCAS15"," "," "," "," "," "," "," ","Dean's Fund CAS 2015"," "
"MLDFCCA15"," "," "," "," "," "," "," ","Dean's Fund CCA 2015"," "
"MLDFCEC15"," "," "," "," "," "," "," ","Dean's Fund CEC 2015"," "
"MLDFEHS15"," "," "," "," "," "," "," ","Dean's Fund CEHS 2015"," "
"MLDFFSB15"," "," "," "," "," "," "," ","Dean's Fund FSB 2015"," "
"MLDFLIB15"," "," "," "," "," "," "," ","Dean's Fund Library 2015"," "
"E2GEN15"," "," "," "," "," "," "," ","Email 2nd General 2015"," "
"MLGBLIN15"," "," "," "," "," "," "," ","Global Initiatives - 2015"," "
"PHLX215"," "," "," "," "," "," "," ","Phonathon Lux 2nd Ask 15"," "
"PH2C15"," "," "," "," "," "," "," ","Phonathon AF 2nd Chance 15"," "
"PHMP215"," "," "," "," "," "," "," ","Phone Mjr Prospects 2nd Ask 15"," "
"PHLX2C15"," "," "," "," "," "," "," ","Phonathon Lux 2nd Chance 15"," "
"PHP316"," "," "," "," "," "," "," ","Phonathon Parents Freshmen 15"," "
"ELRNL"," "," "," "," "," "," "," ","Online Gift from RNL Email"," "
"PHPY16"," "," "," "," "," "," "," ","phonathon Parents Sybunts 15"," "
"MLRW16"," "," "," "," "," "," "," ","Red and White Club FY16"," "
"PHMIM15"," "," "," "," "," "," "," ","Phone MoveInMiami donors 2015"," "
"ML5PD15"," "," "," "," "," "," "," ","5th General Past Donor 2015"," "
"PH1L16"," "," "," "," "," "," "," ","Phone Spr AF 1st Time Lybs 16"," "
"PHF216"," "," "," "," "," "," "," ","Phone Spr AF Future Donors 16"," "
"PHSB16"," "," "," "," "," "," "," ","Phone Spr AF Sybunts 16"," "
"MLSPS16"," "," "," "," "," "," "," ","Spring Statement Mailing 2016"," "
"PHMC16"," "," "," "," "," "," "," ","Phone Spr Mallory-Wilson 16"," "
"MLEANV"," "," "," "," "," "," "," ","Anniversary Email Campaign"," "
"GFSL16"," "," "," "," "," "," "," ","Grad Fest Spring 2016"," "
"MLANV"," "," "," "," "," "," "," ","Anniversary Postcard Mailing"," "
"MLVM16"," "," "," "," "," "," "," ","Veteran's Tribute pldg cd 16"," "
"DED16"," "," "," "," "," "," "," ","Decision Day Email 2016"," "
"MYAM"," "," "," "," "," "," "," ","Myaamia Project Endowment"," "
"AW12"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"PH47"," "," "," "," "," "," "," ","Class of 1947 Reunion"," "
"MLJCPF"," "," "," "," "," "," "," ","Jan Clegg & Peggy Bower Fund"," "
"MLMUM"," "," "," "," "," "," "," ","Middletown campus mail solicit"," "
"MLMUH"," "," "," "," "," "," "," ","Hamilton campus mail solicits"," "
"MLREG"," "," "," "," "," "," "," ","Regional campus credit mailing"," "
"MLDNR"," "," "," "," "," "," "," ","Regional Sybunt mailing"," "
"MLMUHD"," "," "," "," "," "," "," ","Hamilton Downtown solicitation"," "
"MLMVT"," "," "," "," "," "," "," ","MUM Verity Traditions solicit"," "
"MLSYN"," "," "," "," "," "," "," ","Syncronized Skating"," "
"MLSRSP13"," "," "," "," "," "," "," ","Statement Mailing - SYBUNTS"," "
"MLPL2013"," "," "," "," "," "," "," ","Pre Law Solicitation 2013"," "
"MLCSE2013"," "," "," "," "," "," "," ","CSE Scholarship Camp. Kickoff"," "
"PLCOC"," "," "," "," "," "," "," ","Chi Omega Centennial Pldg Card"," "
"PH43"," "," "," "," "," "," "," ","Class of 1943 Reunion"," "
"PH48"," "," "," "," "," "," "," ","Class of 1948 Reunion"," "
"WZ"," "," "," "," "," "," "," ","Western - Miscellaneous"," "
"PH09"," "," "," "," "," "," "," ","Class of 2009 Reunion"," "
"MLAMAL13"," "," "," "," "," "," "," ","Art Museum Membership Drive"," "
"MLPFFF13"," "," "," "," "," "," "," ","Family Fellows Pledge Crd 2013"," "
"PHXX"," "," "," "," "," "," "," ","No Sol Code- Too Old"," "
"MLSLA14"," "," "," "," "," "," "," ","Sally Lloyd Award Pledge 2014"," "
"PHF214"," "," "," "," "," "," "," ","Phone AF Future Donors 2014"," "
"MLXE14"," "," "," "," "," "," "," ","Christmas Eve Mailing 2014"," "
"MLEDL15"," "," "," "," "," "," "," ","Educational leadership 15"," "
"MLEDP1"," "," "," "," "," "," "," ","Educational psychology 15"," "
"MLFSW15"," "," "," "," "," "," "," ","Family studies/social work 15"," "
"MLTED15"," "," "," "," "," "," "," ","Teacher education 15"," "
"MLCCAF"," "," "," "," "," "," "," ","Fashion Program 2015 & 2016"," "
"MLSLS"," "," "," "," "," "," "," ","SOULS Program 2015"," "
"ML3GELY15"," "," "," "," "," "," "," ","3rd Gen. LYBUNTS General"," "
"ML3GRLY15"," "," "," "," "," "," "," ","3rd Gen. LYBUNTS Green"," "
"ML3GESY15"," "," "," "," "," "," "," ","3rd Gen. SYBUNTS General"," "
"ML3GRSY15"," "," "," "," "," "," "," ","3rd Gen. SYBUNTS Green"," "
"ML3GELA15"," "," "," "," "," "," "," ","3rd Gen. Long Lapsed General"," "
"ML3GRLA15"," "," "," "," "," "," "," ","3rd Gen. Long Lapsed Green"," "
"PHMP2C15"," "," "," "," "," "," "," ","Phone Mjr Prspcts 2nd Chnce 15"," "
"MLWF15"," "," "," "," "," "," "," ","Welcome to Family Fall 15"," "
"MLEGENHH15"," "," "," "," "," "," "," ","Happy Holidy Email 2015"," "
"MLEGENNY15"," "," "," "," "," "," "," ","New Year Email 2015"," "
"MLEGENLC15"," "," "," "," "," "," "," ","Last Chance Email 2015"," "
"ML5GL15"," "," "," "," "," "," "," ","5th Gen. Lybunts Green 2015"," "
"ML5GS15"," "," "," "," "," "," "," ","5th Gen. Sybunts Green 2015"," "
"ML5EL15"," "," "," "," "," "," "," ","5th Gen. Lybunts General 2015"," "
"ML5ES15"," "," "," "," "," "," "," ","5th Gen. Sybunts General 2015"," "
"M5G15"," "," "," "," "," "," "," ","5th General Mailing 2015"," "
"MLSF16"," "," "," "," "," "," "," ","SF Alum Chap Digital Inn Schp"," "
"ANNMEMBRENEWAL"," "," "," "," "," "," "," ","MUAA online renewals 2016"," "
"MLPP16"," "," "," "," "," "," "," ","Patterson Place Renovation mlg"," "
"MLIES16"," "," "," "," "," "," "," ","IES mailing 2016"," "
"MLCEC16"," "," "," "," "," "," "," ","CEC Dean's Fund 2016"," "
"MLCCA16"," "," "," "," "," "," "," ","CCA Dean's Fund 2016"," "
"MLFSB16"," "," "," "," "," "," "," ","FSB Dean's Fund 2016"," "
"MLLIB16"," "," "," "," "," "," "," ","Libraries Dean's Fund 2016"," "
"MLEHS16"," "," "," "," "," "," "," ","EHS Dean's Fund 2016"," "
"MLCAS16"," "," "," "," "," "," "," ","CAS Dean's Fund 2016"," "
"PHMP16"," "," "," "," "," "," "," ","Phone Spr. Major Prospects 16"," "
"PHLN16"," "," "," "," "," "," "," ","Phone Spr. Lux Futures 16"," "
"PHSR17"," "," "," "," "," "," "," ","Phonathon Parents Seniors 16"," "
"MLFAST"," "," "," "," "," "," "," ","Regional Fac Staff Campaign"," "
"WCAN"," "," "," "," "," "," "," ","Western College Anchor"," "
"PH07"," "," "," "," "," "," "," ","Class of 2007 Reunion"," "
"ANUR"," "," "," "," "," "," "," ","Nursing Alumni Silent Auction"," "
"ML2PBE12"," "," "," "," "," "," "," ","2nd General - Blank Envelope"," "
"ML2PSE12"," "," "," "," "," "," "," ","2nd General - Script Envelope"," "
"ML2PGE12"," "," "," "," "," "," "," ","2nd General - Graphic Envelope"," "
"MLS1LY12"," "," "," "," "," "," "," ","SFA Deans Fund - LYBUNTS 2012"," "
"MLS1ND12"," "," "," "," "," "," "," ","SFA Deans Fund - Non-Donors 12"," "
"MLS2ND12"," "," "," "," "," "," "," ","FSB Deans Fund - Non-Donors 12"," "
"MLLR"," "," "," "," "," "," "," ","LYBUNT Renewal"," "
"MLPC2012"," "," "," "," "," "," "," ","Presidents Club 2012"," "
"MLRNM"," "," "," "," "," "," "," ","Regional Nursing Mailing"," "
"MLDOMP12"," "," "," "," "," "," "," ","DO Managed Prospects 2012"," "
"MLPB2012"," "," "," "," "," "," "," ","Prodesse Society 2012"," "
"MLCP2012"," "," "," "," "," "," "," ","2012  Presidens Club mailing"," "
"MLXE2012"," "," "," "," "," "," "," ","Christmas Eve Mailing 2012"," "
"MLXERB12"," "," "," "," "," "," "," ","CE Red Brick Society Mail 2012"," "
"MLSS"," "," "," "," "," "," "," ","Future Champions-Synch Skating"," "
"MLCAMA13"," "," "," "," "," "," "," ","Class Agent Matures (50-67)"," "
"MLCABO13"," "," "," "," "," "," "," ","Class Agent Boomers (68-86)"," "
"MLCAGX13"," "," "," "," "," "," "," ","Class Agent Gen X (87-02)"," "
"MLCAGY13"," "," "," "," "," "," "," ","Class Agent Gen Y (03-Present)"," "
"MLREMA13"," "," "," "," "," "," "," ","CA Reunion Matures (50-67)"," "
