"Appeal Code","Appeal Type","Program Code","Drop Date","Fiscal Year","Start Date","Stop Date","Number Selected","Appeal Name","Appeal Cost"
"ML70"," "," "," "," "," "," "," ","Class of 1970 Reunion"," "
"PH95"," "," "," "," "," "," "," ","Class of 1995 Reunion"," "
"PH70"," "," "," "," "," "," "," ","Class of 1970 Reunion"," "
"ML85"," "," "," "," "," "," "," ","Class of 1985 Reunion"," "
"PH85"," "," "," "," "," "," "," ","Class of 1985 Reunion"," "
"ML95"," "," "," "," "," "," "," ","Class of 1995 Reunion"," "
"ML90"," "," "," "," "," "," "," ","Class of 1990 Reunion"," "
"PH90"," "," "," "," "," "," "," ","Class of 1990 Reunion"," "
"ML80"," "," "," "," "," "," "," ","Class of 1980 Reunion"," "
"PH80"," "," "," "," "," "," "," ","Class of 1980 Reunion"," "
"ML75"," "," "," "," "," "," "," ","Class of 1975 Reunion"," "
"PH75"," "," "," "," "," "," "," ","Class of 1975 Reunion"," "
"ML65"," "," "," "," "," "," "," ","Class of 1965 Reunion"," "
"PH65"," "," "," "," "," "," "," ","Class of 1965 Reunion"," "
"ML50"," "," "," "," "," "," "," ","Class of 1950 Reunion"," "
"PH50"," "," "," "," "," "," "," ","Class of 1950 Reunion"," "
"ML55"," "," "," "," "," "," "," ","Class of 1955 Reunion"," "
"PH55"," "," "," "," "," "," "," ","Class of 1955 Reunion"," "
"PHB4"," "," "," "," "," "," "," ","Bishop Phonathon"," "
"PHLY"," "," "," "," "," "," "," ","Two Year Lapsed"," "
"PHP3"," "," "," "," "," "," "," ","Parents of Current Freshmen"," "
"PHTH"," "," "," "," "," "," "," ","Towers"," "
"PHTL"," "," "," "," "," "," "," ","3-8 Year Lapsed"," "
"PHTS"," "," "," "," "," "," "," ","Heritage"," "
"PHTU"," "," "," "," "," "," "," ","1809 Club"," "
"PH1G"," "," "," "," "," "," "," ","New Grads"," "
"JP"," "," "," "," "," "," "," ","Parents of current Juniors"," "
"SR"," "," "," "," "," "," "," ","Parents of current Seniors"," "
"OP"," "," "," "," "," "," "," ","Parents of current Sophomores"," "
"PHOP"," "," "," "," "," "," "," ","Parents of Current Sophomores"," "
"PHSR"," "," "," "," "," "," "," ","Parents of Current Seniors"," "
"PHJP"," "," "," "," "," "," "," ","Parents of Current Juniors"," "
"50"," "," "," "," "," "," "," ","Class of 1950-50 Year Reunion"," "
"MLFO"," "," "," "," "," "," "," ","Annual Fund - Foreign"," "
"AW50"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW55"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW60"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW65"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW80"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW85"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW90"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW45"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"ML45"," "," "," "," "," "," "," ","Class of 1945 Reunion"," "
"AW75"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW70"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW40"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW95"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"ML2Z"," "," "," "," "," "," "," ","2nd General - younger donors"," "
"MLY1"," "," "," "," "," "," "," ","Young Alumni - 1st mailing"," "
"MLY2"," "," "," "," "," "," "," ","Young Alumni - 2nd mailing"," "
"PHT1"," "," "," "," "," "," "," ","pre 5-year reunion"," "
"PHFD"," "," "," "," "," "," "," ","First time donors"," "
"PHT2"," "," "," "," "," "," "," ","pre 10-year reunion"," "
"PHU1"," "," "," "," "," "," "," ","post 5-year reunion"," "
"PHU2"," "," "," "," "," "," "," ","post 10-year reunion"," "
"ML40"," "," "," "," "," "," "," ","Class of 1940 Reunion"," "
"MLR4"," "," "," "," "," "," "," ","R & W lapsed donors"," "
"MLR6"," "," "," "," "," "," "," ","Football Mailing"," "
"PHNN"," "," "," "," "," "," "," ","Non-donors"," "
"PHWL"," "," "," "," "," "," "," ","Western Lapsed"," "
"PH86"," "," "," "," "," "," "," ","Class of 1986 Reunion"," "
"PH96"," "," "," "," "," "," "," ","Class of 1996 Reunion"," "
"ML41"," "," "," "," "," "," "," ","Class of 1941 Reunion"," "
"ML46"," "," "," "," "," "," "," ","Class of 1946 Reunion"," "
"PH61"," "," "," "," "," "," "," ","Class of 1961 Reunion"," "
"PH66"," "," "," "," "," "," "," ","Class of 1966 Reunion"," "
"PH81"," "," "," "," "," "," "," ","Class of 1981 Reunion"," "
"PHBD"," "," "," "," "," "," "," ","Bishop level"," "
"PHBN"," "," "," "," "," "," "," ","Never giver - Bishop level"," "
"ML51"," "," "," "," "," "," "," ","Class of 1951 Reunion"," "
"ML56"," "," "," "," "," "," "," ","Class of 1956 Reunion"," "
"ML61"," "," "," "," "," "," "," ","Class of 1961 Reunion"," "
"ML66"," "," "," "," "," "," "," ","Class of 1966 Reunion"," "
"ML71"," "," "," "," "," "," "," ","Class of 1971 Reunion"," "
"ML76"," "," "," "," "," "," "," ","Class of 1976 Reunion"," "
"ML81"," "," "," "," "," "," "," ","Class of 1981 Reunion"," "
"ML86"," "," "," "," "," "," "," ","Class of 1986 Reunion"," "
"ML91"," "," "," "," "," "," "," ","Class of 1991 Reunion"," "
"ML96"," "," "," "," "," "," "," ","Class of 1996 Reunion"," "
"AW41"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW46"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW51"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW56"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW61"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW66"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW71"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW76"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
